timestamp,pv_voltage_V,pv_current_A,pv_power_W,pv_status,battery_voltage_V,battery_current_A,battery_charge_power_W,battery_charge_set_W,battery_charge_voltage_V,battery_ovp_V,battery_uvp_V,grid_voltage_V,grid_current_A,grid_input_power_W,grid_charge_power_W,grid_freq_Hz,grid_status,output_switch,output_voltage_V,output_current_A,output_power_W,output_freq_Hz,temp_inverter_C,temp_boost_C,temp_transformer_C,fan_current_pct,fan_setpoint_pct,op_mode,inverter_on,ac_charging,bypassing,fault_active,faults,warnings,fault_code
2026-06-12T17:10:04.074546,0.0,0.0,0,Abnormal,34.0,0.0,0,68,0.0,0.8,26.0,211.3,0.06,4,36,43.57,Normal,0,0.0,0.0,0,0.0,4.8,26.4,0.0,0,19806,PV fault,0,1,0,0,,,0
2026-06-12T17:10:07.074556,0.0,0.0,0,Abnormal,34.2,0.0,0,100,51.2,8.8,38.6,6.8,0.05,4,36,43.57,Normal,0,0.0,0.0,0,0.0,28.8,27.6,0.0,0,10847,PV fault,0,1,0,0,,,0
2026-06-12T17:10:10.074482,0.2,0.0,0,Abnormal,8.5,0.0,0,68,0.0,60.0,38.6,6.8,0.05,32,41,47.41,Normal,0,0.0,0.0,0,0.0,1.8,2.8,0.0,0,31477,State 0,0,0,0,0,,,0
2026-06-12T17:10:13.074575,0.0,0.0,0,Abnormal,35.0,0.0,0,68,0.0,59.2,26.0,14.1,0.36,16,34,43.52,Abnormal,0,0.0,0.0,0,0.0,30.9,27.7,0.0,0,31477,PV fault,0,1,0,0,,,0
2026-06-12T17:10:16.074601,0.0,0.0,0,Abnormal,42.6,0.0,0,68,0.0,60.0,38.6,225.3,0.05,21,21,48.69,Abnormal,0,0.0,0.0,0,0.0,0.4,27.7,0.0,0,22517,State 0,0,1,0,0,,,0
2026-06-12T17:10:19.074762,0.0,0.0,0,Abnormal,42.6,0.0,0,32,51.2,8.0,26.0,218.6,0.38,21,21,48.69,Abnormal,0,0.0,0.0,0,0.0,31.0,27.7,0.0,0,-21846,State 0,0,1,0,0,,,0
2026-06-12T17:10:22.074698,0.2,0.0,0,Abnormal,24.4,0.0,0,68,51.2,52.0,13.0,13.8,0.32,42,42,49.99,Normal,0,0.0,0.0,0,0.0,27.2,2.0,0.0,0,-5545,PV fault,0,1,0,0,,,0
2026-06-12T17:10:25.074835,0.0,0.0,0,Abnormal,42.8,0.0,0,96,51.2,59.2,26.2,212.6,0.05,17,17,6.42,Normal,0,0.0,0.0,0,0.0,1.6,27.6,0.0,0,-21963,PV fault,0,1,0,0,,,0
2026-06-12T17:10:28.075032,0.0,0.0,0,Abnormal,37.4,0.0,0,68,51.2,60.0,26.0,19.6,0.37,24,29,6.42,Abnormal,0,0.0,0.0,0,0.0,28.0,2.0,0.0,0,-21923,PV fault,0,1,0,0,,,0
2026-06-12T17:10:31.075010,0.2,0.0,0,Abnormal,14.8,0.0,0,64,0.0,58.4,26.0,211.6,0.04,40,4,49.98,Abnormal,0,0.0,0.0,0,0.0,27.3,2.9,0.0,0,32362,PV shutdown,0,0,0,0,,,0
